Gene,Function,Reference,Acc #,Human Gene Name,Group
BAFF,B-cell Activating Factor,"Moon & Park , 2007",NM_006573,TNFSF13B,Cytokines/Chemokines and their modulators
BLIMP-1,B lymphocyte-induced maturation protein-1,"Calame, 2008",NM_00198,BLIMP1 /PRDM1,Cytokines/Chemokines and their modulators
CCL5,T-cell secreted factor,"Wickremasinghe et al, 2004 ",NM_002985,CCL5,Cytokines/Chemokines and their modulators
CCL15/Leukotactin/ SCYA15,Chemokine for cell attraction,"Shin et al, 2005",NM_032965,CCL15,Cytokines/Chemokines and their modulators
CCL17,Chemokine,"Takegawa et al, 2008 ",NM_002987,CCL17,Cytokines/Chemokines and their modulators
CCL19,Recruitment of naive T cells to dendritic cells,"Pietila et al, 2007 ",NM_006274,CCL19,Cytokines/Chemokines and their modulators
CCL20,Ligand of CC chemokine receptor 6,"Lee et al, 2008; Battaglia et al, 2007",NM_004591,CCL20,Cytokines/Chemokines and their modulators
CCL22,Epithelial cell chemokine at mucosa,"Nakayama et al, 2004 ",NM_002990,CCL22,Cytokines/Chemokines and their modulators
CCL23/SYA23,Monocyte chemokine,"Shin et al, 2007",NM_005064,CCL23,Cytokines/Chemokines and their modulators
CCL28,Chemokine for T-cell attraction,"Ogawa et al, 2004 ",NM_148672,CCL28,Cytokines/Chemokines and their modulators
CINC-1,Cytokine-induced neutrophil chemoattractant,"Blackwell et al, 1994 Ohtsuka et al, 1996",NM_001511,CXCL1,Cytokines/Chemokines and their modulators
*CXCL 11,Chemokine ligand for CXCR3,"Tensen et al, 1999",NM_005409,CXCL11,Cytokines/Chemokines and their modulators
Eotaxin,"beta Chemokine, eosinphil-specific","Hein et al, 1997",NM_001565. ,CXCL10,Cytokines/Chemokines and their modulators
Fractalkine,TNF-induced chemokine,"Ahn et al, 2004;Bhavsar et al, 2008",NP_002987,CXCL3,Cytokines/Chemokines and their modulators
Gro alpha,Melanoma growth stimulating activity,"Anisowicz et al, 1991",NM_001511,CXCL1,Cytokines/Chemokines and their modulators
Gro beta,Chemokine,"Anisowicz et al, 1991",AAP13104,GRO-beta,Cytokines/Chemokines and their modulators
Gro gamma,Chemokine,"Anisowicz et al, 1991",AAP13105. ,GRO-gamma,Cytokines/Chemokines and their modulators
Gro-1,Growth regulated oncogene; chemokine,"Wood, 1995",NM_001511,CXCL1,Cytokines/Chemokines and their modulators
*ICOS,Inducible co-stimulator,"Haaning Anderson et al, 2003",NM_012092,ICOS,Cytokines/Chemokines and their modulators
IFN-g,Interferon,"Sica et al, 1992; Sica et al, 1997",NM_000619,IFNG,Cytokines/Chemokines and their modulators
IL-1a,Interleukin-1a,"Mori & Prager, 1996",NM_000575,IL1A,Cytokines/Chemokines and their modulators
IL-1b,Interleukin-1b,"Hiscott et al, 1993",NM_000576,IL1B,Cytokines/Chemokines and their modulators
IL-1 receptor antagonist,Inhibitor of IL-1 activity,"Smith et al, 1994",NM_173842,IL1RN,Cytokines/Chemokines and their modulators
IL-2,Interleukin-2,"Serfling et al, 1989; Hoyos et al, 1989; Lai et al, 1995",NM_000586,IL2,Cytokines/Chemokines and their modulators
IL-6,"Interleukin-6, inflammatory cytokine","Libermann & Baltimore, 1990; Shimizu et al, 1990;Son et al, 2008",NM_000600,IL6,Cytokines/Chemokines and their modulators
IL-8,"Interleukin-8, alpha-chemokine","Kunsch & Rosen, 1993; Kang et al., 2007",NM_000584,IL8,Cytokines/Chemokines and their modulators
IL-9,Interleukin-9,"Zhu et al, 1996; Chen et al, 2008",NM_000590,IL9,Cytokines/Chemokines and their modulators
IL-10,Interleukin-10,"Xu & Shu, 2002; Cao et al, 2006",NM_000572,IL10,Cytokines/Chemokines and their modulators
IL-11,Interleukin-11,"Bitko et al, 1997",NM_000641,IL11,Cytokines/Chemokines and their modulators
IL-12B (p40),Interleukin-12,"Murphy et al, 1995",NM_002187,IL12B,Cytokines/Chemokines and their modulators
IL-12A (p35),Interleukin-12,"Homma et al, 2007",NM_000882,IL12A,Cytokines/Chemokines and their modulators
IL-13,Interleukin-13,"Hinz et al, 2002",NM_002188,IL13,Cytokines/Chemokines and their modulators
*IL-15,Interleukin-15,"Azimi et al, 1998",NM_172174,IL15,Cytokines/Chemokines and their modulators
IL-17,Interleukin-17,"Shen et al, 2006",NM_002190,IL17,Cytokines/Chemokines and their modulators
IL-23A (p19),Interleukin-23 (p19 gene),"Carmody et al, 2006; Liu et al, 2007",NM_016584,IL23A,Cytokines/Chemokines and their modulators
IL-27 (p28),Interleukin-27 (p28 subunit),"Liu et al, 2007",NM_145659,IL27,Cytokines/Chemokines and their modulators
EBI3/IL-27B,EBV-induced gene 3 (IL-27beta chain),"Poleganov et al, 2008",NM_005755,EBI3,Cytokines/Chemokines and their modulators
beta-Interferon,Interferon,"Hiscott et al, 1989;",NM_002176,IFNB1,Cytokines/Chemokines and their modulators
,,"Lenardo et al, 1989",,,Cytokines/Chemokines and their modulators
IP-10,alpha Chemokine,"Ohmori & Hamilton, 1993; Yang et al, 2007",NM_002994,CXCL5,Cytokines/Chemokines and their modulators
KC,alpha Chemokine,"Ohmori et al, 1995",S79767,KC,Cytokines/Chemokines and their modulators
IiGp1,Cytokine,"Bunting et al, 2007",NM_021792,Iigp1,Cytokines/Chemokines and their modulators
,,,NM_002994,CXCL5,Cytokines/Chemokines and their modulators
*LIX (mouse); ENA-78 (CXCL5) and GCP-2 (CXCL6) (human),LPS-induced CXC chemokines,"Smith et al, 2002",NM_002993,CXCL6,Cytokines/Chemokines and their modulators
Lymphotoxin a,TNF-like cytokine,"Worm et al, 1998",NM_000595,LTA,Cytokines/Chemokines and their modulators
Lymphotoxin b,Anchors TNF to cell surface,"Kuprash et al, 1996",NM_002341,LTB,Cytokines/Chemokines and their modulators
MCP-1/JE,"Macrophage chemotactic protein, beta Chemokine","Ueda et al, 1994; Ueda et al, 1997",NM_002982,CCL2,Cytokines/Chemokines and their modulators
,,,,,Cytokines/Chemokines and their modulators
,,"Teferedegne et al, 2006; Xing & Remick, 2007; Ishikado et al, 2009",,,Cytokines/Chemokines and their modulators
MIG,Monokine induced by IFN-gamma,"Bunting et al, 2007",NM_002416,CXCL9,Cytokines/Chemokines and their modulators
"MIP-1a,b","Macrophage inflammatory protein-1, b Chemokine","Grove & Plumb, 1993; Widmer et al, 1993",NM_002983,CCL3,Cytokines/Chemokines and their modulators
,,,NM_002984,CCL4,Cytokines/Chemokines and their modulators
aka (LAG-1),Lymphocyte activation gene-1,"Xu et al, 2002; Modi et al, 2001",NM_002984,CCL4,Cytokines/Chemokines and their modulators
MIP-2,"Macrophage inflammatory protein-2, b Chemokine","Widmer et al, 1993; Lee et al, 2005",NM_002090,CXCL3,Cytokines/Chemokines and their modulators
MIP-3alpha/CCL20,Macrophage inflammatory protein-3a,"Kwon et al, 2002; Tomimori et al, 2007",NM_004591,CCL20,Cytokines/Chemokines and their modulators
*mob-1,A C-X-C chemokine,"Varley et al, 2003",NM_001565,CXCL10,Cytokines/Chemokines and their modulators
Neutrophil activating peptide-78,Activates neutrophils,"Keates et al., 2001",NM_002994,CXCL5,Cytokines/Chemokines and their modulators
RANTES,"Regulated upon Activation Normal T lymphocyte Expressed and Secreted,b Chemokine","Moriuchi et al, 1997",NM_002985,CCL5,Cytokines/Chemokines and their modulators
"TCA3, T-cell activation gene 3","T-cell activation gene 3, beta chemokine","Oh & Metcalfe, 1994",NM_002981,CCL1,Cytokines/Chemokines and their modulators
TNFalpha,Tumor necrosis factor alpha,"Shakhov et al, 1990; Collart et al, 1990",NM_000594,TNF,Cytokines/Chemokines and their modulators
TNFbeta,Tumor necrosis factor beta,"Paul et al, 1990; Messer et al, 1990",NM_000595,LTA,Cytokines/Chemokines and their modulators
TRAIL (aka Apo2 ligand),Cytokine,"Baetu et al, 2001; Matsuda et al, 2005",NM_003810,TNFSF10,Cytokines/Chemokines and their modulators
TFF3 (Treefoil factor),Peptide in response to gut irritation,"Baus-Loncar et al, 2004",NM_003226,TFF3,Cytokines/Chemokines and their modulators
VEGI,Vascular endothelial growth inhibitor,"Xiao et al, 2005",NM_005118,TNFSF15,Cytokines/Chemokines and their modulators
B7.1 (CD80),Co-stimulation of T cells via CD28 binding,"Fong et al, 1996; Zhao et al, 1996",NM_005191,CD80,Immunoreceptors
